,id,name,nation,capability,total,first,goal,assist,yellow_card,red_card
0,50179915,尼古拉-佩佩,科特迪瓦,82,47,30,16,5,1,1
1,50027314,奥巴梅扬,加蓬,85,39,33,15,4,3,0
2,50160977,托马斯-帕尔特伊,加纳,83,33,24,0,3,7,0
3,50100385,埃尔内尼,埃及,77,41,27,3,0,6,0
