,id,name,nation,capability,total,first,goal,assist,yellow_card,red_card
0,50164600,齐耶赫,摩洛哥,84,39,23,6,4,5,0
1,50160684,巴巴,加纳,75,23,19,0,2,2,0
2,50136161,爱德华-门迪,塞内加尔,79,44,44,0,0,2,0
