,id,name,nation,capability,total,first,goal,assist,yellow_card,red_card
0,50528050,阿马德-迪亚洛,科特迪瓦,66,8,2,1,1,0,0
1,50185275,拜利,科特迪瓦,79,21,19,0,1,4,0
