,id,name,nation,capability,total,first,goal,assist,yellow_card,red_card
0,50204018,伊希纳乔,尼日利亚,76,39,25,19,6,4,0
1,50103351,拉希德-加扎尔,阿尔及利亚,77,23,12,3,0,3,0
2,50161044,阿马泰,加纳,74,17,13,1,0,3,0
3,50092220,门迪,塞内加尔,76,29,17,0,1,6,0
4,50190965,恩迪迪,尼日利亚,84,36,34,1,4,7,0
