,id,name,nation,capability,total,first,goal,assist,yellow_card,red_card
0,50220808,福苏-亨利,加纳,71,49,27,4,3,5,0
1,50397919,奥戈楚克乌-弗兰克,尼日利亚,75,0,0,0,0,0,0
2,50104248,让维耶,几内亚,70,27,26,1,0,2,1
