,id,name,nation,capability,total,first,goal,assist,yellow_card,red_card
0,50091010,萨拉赫,埃及,90,51,47,31,6,0,0
1,50129377,马内,塞内加尔,88,48,41,16,8,6,0
2,50206311,纳比-凯塔,几内亚,80,16,9,0,0,1,0
3,50069085,马蒂普,喀麦隆,83,12,11,1,2,2,0
